plan_id,plan_name,intensity,focus_area,total_duration_min,est_calories,exercises_json
1265,Moderate Glutes Plan #1265,moderate,glutes,107,626,"[{""name"": ""Light Cycling"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 125, ""note"": """"}, {""name"": ""Box Jumps"", ""type"": ""plyometric"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 9, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 99, ""note"": """"}, {""name"": ""Brisk Walk"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 35, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 140, ""note"": """"}, {""name"": ""Cycling (steady)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 15, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 120, ""note"": """"}, {""name"": ""Dumbbell Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 35, ""note"": """"}, {""name"": ""Lunges"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}, {""name"": ""Bodyweight Calisthenics (easy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 8, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 32, ""note"": """"}, {""name"": ""Deadlift (heavy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 45, ""note"": """"}]"
1266,Moderate Legs Plan #1266,moderate,legs,60,580,"[{""name"": ""Farmer's Carry"", ""type"": ""strength"", ""primary"": ""grip"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 30, ""note"": """"}, {""name"": ""Glute Bridges"", ""type"": ""strength"", ""primary"": ""glutes"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 20, ""note"": """"}, {""name"": ""TRX Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 35, ""note"": """"}, {""name"": ""Mountain Climbers"", ""type"": ""cardio_core"", ""primary"": ""core"", ""intensity_score"": 3, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 275, ""note"": """"}, {""name"": ""High Knees"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 220, ""note"": """"}]"
1267,Moderate Back Plan #1267,moderate,back,80,701,"[{""name"": ""Kettlebell Swings"", ""type"": ""strength_cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 9, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 90, ""note"": """"}, {""name"": ""Incline Push-ups"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 35, ""note"": """"}, {""name"": ""Light Cycling"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 125, ""note"": """"}, {""name"": ""Rowing Machine (intense)"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 220, ""note"": """"}, {""name"": ""Sprint Intervals"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 15, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 195, ""note"": """"}, {""name"": ""Lunges"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 36, ""note"": """"}]"
1268,Light Mobility Plan #1268,light,mobility,35,350,"[{""name"": ""Plank"", ""type"": ""core"", ""primary"": ""core"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 2, ""reps"": 15, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 20, ""note"": """"}, {""name"": ""Yoga Flow"", ""type"": ""mobility"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 30, ""est_calories"": 15, ""note"": """"}, {""name"": ""Thrusters"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 30, ""est_calories"": 55, ""note"": """"}, {""name"": ""Sprint on Treadmill"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 260, ""note"": """"}]"
1269,Light Cardio Plan #1269,light,cardio,120,1105,"[{""name"": ""Pull-ups"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 2, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 30, ""est_calories"": 45, ""note"": """"}, {""name"": ""Burpees"", ""type"": ""cardio_strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 45, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 540, ""note"": """"}, {""name"": ""Battle Rope Slams"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 3, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 360, ""note"": """"}, {""name"": ""Brisk Walk"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 40, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 160, ""note"": """"}]"
1270,Moderate Glutes Plan #1270,moderate,glutes,50,445,"[{""name"": ""Romanian Deadlift"", ""type"": ""strength"", ""primary"": ""hamstrings"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 40, ""note"": """"}, {""name"": ""Battle Rope Waves (steady)"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 2, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 270, ""note"": """"}, {""name"": ""Push-ups"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 35, ""note"": """"}, {""name"": ""Push-ups (explosive)"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 45, ""note"": """"}, {""name"": ""Squat Jumps"", ""type"": ""plyometric"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 55, ""note"": """"}]"
1271,Moderate Shoulders Plan #1271,moderate,shoulders,57,564,"[{""name"": ""Box Jumps"", ""type"": ""plyometric"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 7, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 77, ""note"": """"}, {""name"": ""Push-ups"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 2, ""duration_min"": 7, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 49, ""note"": """"}, {""name"": ""Rowing Machine (intense)"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 330, ""note"": """"}, {""name"": ""Lunges"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 7, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 42, ""note"": """"}, {""name"": ""Squat Jumps"", ""type"": ""plyometric"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 6, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 66, ""note"": """"}]"
1272,Moderate Core Plan #1272,moderate,core,78,633,"[{""name"": ""Pilates Mat"", ""type"": ""mobility_core"", ""primary"": ""core"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 15, ""note"": """"}, {""name"": ""Dumbbell Shoulder Press"", ""type"": ""strength"", ""primary"": ""shoulders"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 42, ""note"": """"}, {""name"": ""Bodyweight Calisthenics (easy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 6, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 24, ""note"": """"}, {""name"": ""Lunges"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}, {""name"": ""Battle Rope Waves (steady)"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 2, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 225, ""note"": """"}, {""name"": ""Jump Rope"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 240, ""note"": """"}, {""name"": ""Yoga Flow"", ""type"": ""mobility"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 15, ""note"": """"}, {""name"": ""Push-ups"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 42, ""note"": """"}]"
1273,Light Mobility Plan #1273,light,mobility,56,304,"[{""name"": ""TRX Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 35, ""note"": """"}, {""name"": ""Light Cycling"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 40, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 200, ""note"": """"}, {""name"": ""Walking Lunges (slow)"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 6, ""sets"": 3, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 24, ""note"": """"}, {""name"": ""Push-ups (explosive)"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 45, ""note"": """"}]"
1274,Moderate Upper Plan #1274,moderate,upper,98,1051,"[{""name"": ""Step-ups"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}, {""name"": ""Cycling (HIIT)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 360, ""note"": """"}, {""name"": ""Battle Rope Slams"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 3, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 300, ""note"": """"}, {""name"": ""Dumbbell Shoulder Press"", ""type"": ""strength"", ""primary"": ""shoulders"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 42, ""note"": """"}, {""name"": ""Farmer's Carry"", ""type"": ""strength"", ""primary"": ""grip"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}, {""name"": ""Jump Rope"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 240, ""note"": """"}, {""name"": ""Push-ups"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 2, ""duration_min"": 7, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 49, ""note"": """"}]"
1275,Light Glutes Plan #1275,light,glutes,96,554,"[{""name"": ""Pull-ups"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 45, ""note"": """"}, {""name"": ""Light Cycling"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 45, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 225, ""note"": """"}, {""name"": ""Walking Lunges (slow)"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 6, ""sets"": 3, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 24, ""note"": """"}, {""name"": ""Light Rowing"", ""type"": ""cardio_low"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 100, ""note"": """"}, {""name"": ""Cycling (steady)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 160, ""note"": """"}]"
1276,Moderate Mobility Plan #1276,moderate,mobility,71,589,"[{""name"": ""Resistance Band Work"", ""type"": ""strength"", ""primary"": ""varied"", ""intensity_score"": 1, ""duration_min"": 8, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 32, ""note"": """"}, {""name"": ""TRX Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 35, ""note"": """"}, {""name"": ""Box Jumps"", ""type"": ""plyometric"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 6, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 66, ""note"": """"}, {""name"": ""Bodyweight Calisthenics (easy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 7, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 28, ""note"": """"}, {""name"": ""Yoga Flow"", ""type"": ""mobility"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 9, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 27, ""note"": """"}, {""name"": ""Dumbbell Shoulder Press"", ""type"": ""strength"", ""primary"": ""shoulders"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 35, ""note"": """"}, {""name"": ""Thrusters"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 6, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 66, ""note"": """"}, {""name"": ""Jump Rope"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 300, ""note"": """"}]"
1277,Moderate Core Plan #1277,moderate,core,48,262,"[{""name"": ""Push-ups (explosive)"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 3, ""duration_min"": 6, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 54, ""note"": """"}, {""name"": ""Lunges"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 36, ""note"": """"}, {""name"": ""Brisk Walk"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 100, ""note"": """"}, {""name"": ""Bodyweight Squats"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}, {""name"": ""TRX Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 42, ""note"": """"}]"
1278,Moderate Core Plan #1278,moderate,core,85,790,"[{""name"": ""Cycling (HIIT)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 35, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 420, ""note"": """"}, {""name"": ""Plank"", ""type"": ""core"", ""primary"": ""core"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 20, ""note"": """"}, {""name"": ""Battle Rope Waves (steady)"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 2, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 225, ""note"": """"}, {""name"": ""Light Rowing"", ""type"": ""cardio_low"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 15, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 75, ""note"": """"}, {""name"": ""Medicine Ball Slams"", ""type"": ""power"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 50, ""note"": """"}]"
1279,Moderate Core Plan #1279,moderate,core,112,1008,"[{""name"": ""Battle Ropes"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 3, ""duration_min"": 35, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 420, ""note"": """"}, {""name"": ""Dumbbell Shoulder Press"", ""type"": ""strength"", ""primary"": ""shoulders"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 35, ""note"": """"}, {""name"": ""Battle Rope Waves (steady)"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 2, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 225, ""note"": """"}, {""name"": ""Resistance Band Work"", ""type"": ""strength"", ""primary"": ""varied"", ""intensity_score"": 1, ""duration_min"": 7, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 28, ""note"": """"}, {""name"": ""Burpees"", ""type"": ""cardio_strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 15, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 180, ""note"": """"}, {""name"": ""Bodyweight Calisthenics (easy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 20, ""note"": """"}, {""name"": ""Light Cycling"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 100, ""note"": """"}]"
1280,Moderate Mobility Plan #1280,moderate,mobility,108,897,"[{""name"": ""Plank"", ""type"": ""core"", ""primary"": ""core"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 24, ""note"": """"}, {""name"": ""Pilates Mat"", ""type"": ""mobility_core"", ""primary"": ""core"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 15, ""note"": """"}, {""name"": ""Lunges"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 36, ""note"": """"}, {""name"": ""Bodyweight Squats"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}, {""name"": ""Burpees"", ""type"": ""cardio_strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 240, ""note"": """"}, {""name"": ""Dumbbell Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 42, ""note"": """"}, {""name"": ""Jumping Jacks"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 300, ""note"": """"}, {""name"": ""Elliptical (steady)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 210, ""note"": """"}]"
